state_code,state,district,districts_2,censuscode,state_district,rural45,total45
32,Kerala,Malappuram,Malappuram,592,Kerala Malappuram,26.2,24.2
32,Kerala,Palakkad,Palakkad,593,Kerala Palakkad,36.6,38.3
32,Kerala,Thrissur,Thrissur,594,Kerala Thrissur,-44.7,34.4
32,Kerala,Ernakulam,Ernakulam,595,Kerala Ernakulam,50.3,39.2
32,Kerala,Idukki,Idukki,596,Kerala Idukki,45.7,45.8
32,Kerala,Kottayam,Kottayam,597,Kerala Kottayam,44.4,43.2
32,Kerala,Alappuzha,Alappuzha,598,Kerala Alappuzha,-46.7,49.9
32,Kerala,Pathanamthitta,Pathanamthitta,599,Kerala Pathanamthitta,50.6,51.4
32,Kerala,Kollam,Kollam,600,Kerala Kollam,-55.1,60.2
32,Kerala,Thiruvananthapuram,Thiruvananthapuram,601,Kerala Thiruvananthapuram,-51.5,53.6
33,Tamil Nadu,Thiruvallur,Thiruvallur,602,Tamil Nadu Thiruvallur,*,-49.2
33,Tamil Nadu,Chennai,Chennai,603,Tamil Nadu Chennai,,33.6
33,Tamil Nadu,Kancheepuram,Kancheepuram,604,Tamil Nadu Kancheepuram,*,42.5
33,Tamil Nadu,Vellore,Vellore,605,Tamil Nadu Vellore,-40.5,38.9
33,Tamil Nadu,Tiruvannamalai,Tiruvanamalai,606,Tamil Nadu Tiruvannamalai,*,-41.2
33,Tamil Nadu,Viluppuram,Viluppuram,607,Tamil Nadu Viluppuram,-31.3,-26.8
33,Tamil Nadu,Salem,Salem,608,Tamil Nadu Salem,-66.2,63.1
33,Tamil Nadu,Namakkal,Namakkal,609,Tamil Nadu Namakkal,-52.8,53.2
33,Tamil Nadu,Erode,Erode,610,Tamil Nadu Erode,*,53.7
33,Tamil Nadu,The Nilgiris,The Nilgiris,611,Tamil Nadu The Nilgiris,-38.9,34.5
33,Tamil Nadu,Dindigul,Dindigul,612,Tamil Nadu Dindigul,-45.2,48.9
33,Tamil Nadu,Karur,Karur,613,Tamil Nadu Karur,-69.2,58.8
33,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,614,Tamil Nadu Tiruchirappalli,61.7,55.8
33,Tamil Nadu,Perambalur,Perambalur,615,Tamil Nadu Perambalur,56.7,56.4
33,Tamil Nadu,Ariyalur,Ariyalur,616,Tamil Nadu Ariyalur,-52.3,-60.5
33,Tamil Nadu,Cuddalore,Cuddalore,617,Tamil Nadu Cuddalore,*,54.6
33,Tamil Nadu,Nagapattinam,Nagapattinam,618,Tamil Nadu Nagapattinam,-59.1,60
33,Tamil Nadu,Thiruvarur,Thiruvarur,619,Tamil Nadu Thiruvarur,79.4,76.9
33,Tamil Nadu,Thanjavur,Thanjavur,620,Tamil Nadu Thanjavur,-66.3,63.6
33,Tamil Nadu,Pudukkottai,Pudukkottai,621,Tamil Nadu Pudukkottai,56.4,62.6
33,Tamil Nadu,Sivaganga,Sivaganga,622,Tamil Nadu Sivaganga,52.6,52.6
33,Tamil Nadu,Madurai,Madurai,623,Tamil Nadu Madurai,-64.7,55.5
33,Tamil Nadu,Theni,Theni,624,Tamil Nadu Theni,*,75.4
33,Tamil Nadu,Virudhunagar,Virudhunagar,625,Tamil Nadu Virudhunagar,-61.9,56.4
33,Tamil Nadu,Ramanathapuram,Ramanathapuram,626,Tamil Nadu Ramanathapuram,49.4,51.2
33,Tamil Nadu,Thoothukkudi,Thoothukudi,627,Tamil Nadu Thoothukkudi,-31.2,42
33,Tamil Nadu,Tirunelveli,Tirunelveli,628,Tamil Nadu Tirunelveli,43.3,46.3
33,Tamil Nadu,Kanniyakumari,Kanniyakumari,629,Tamil Nadu Kanniyakumari,,56.7
33,Tamil Nadu,Dharmapuri,Dharmapuri,630,Tamil Nadu Dharmapuri,-68.5,-63.8
33,Tamil Nadu,Krishnagiri,Krishnagiri,631,Tamil Nadu Krishnagiri,57.4,51.4
33,Tamil Nadu,Coimbatore,Coimbatore,632,Tamil Nadu Coimbatore,,64.3
33,Tamil Nadu,Tiruppur,Tirupur,633,Tamil Nadu Tiruppur,-48.4,36.8
34,Puducherry,Yanam,Yanam,634,Puducherry Yanam,,67.1
34,Puducherry,Puducherry,Pondicherry,635,Puducherry Puducherry,*,-31.6
34,Puducherry,Mahe,Mahe,636,Puducherry Mahe,,44.6
34,Puducherry,Karaikal,Karaikal,637,Puducherry Karaikal,*,75.8
35,Andaman & Nicobar Islands,Nicobars,Nicobar,638,Andaman & Nicobar Islands Nicobars,*,*
35,Andaman & Nicobar Islands,North  & Middle Andaman,North and Middle Andaman,639,Andaman & Nicobar Islands North  & Middle Andaman,*,*
35,Andaman & Nicobar Islands,South Andaman,South Andaman,640,Andaman & Nicobar Islands South Andaman,*,*
27,Maharashtra,Mumbai,Mumbai,,Maharashtra Mumbai,,37.6
,,,,0,,,
,,,,519,,,
